ALL INPUT IS WELCOME - THANK YOU,,,,,,
RANK,LEMMA,PoS,GERMANIC,GERMANIC-LIKE,DETAILS,
,`colloquial,adj,"everyday, homely",,,
,`color,n,"1) hue, shade, 2) blush, flush, glow, 3) life, liveliness",,,
,`colorful,adj,"bright, bright-hued, many-hued, lively, rich",,,
,`colorless,adj,"adhen, dreary, hueless, sickly, wan, washed out",,,
,`column,n,"1) shaft, upright, 2) body (of fighting men), line",,,
,`combat,n,"fight, bloodshed, hand-to-hand fighting, stand-up fight, getup",,,"MERGE WITH FIGHT, ALTERCATION"
,`combat,vb,"fight, stand up to, stand against, withstand",,,
,`combination,n,"mix    1) mingling, 2) making one, gathering, team",,,PUT TOGETHER
,`comedian,n,funnyman/funnywoman,,,
,`comfort,n,"1) heartening, strengthening, 2) every good thing, well-being",,,
,`comfort,vb,"to allay (fears), gladden, hearten, lighten, put/set the mind at rest, soothe, strengthen, put/set one's mind at rest, take from one's shoulders, unburden, warm",,"[S] relax, calm",
,`comfortable,adj,"1) homely, restful, warm, cozy, 2) well-off, well-to-do",,,
,`command,vb,"to bid, lay down the law, say so, say it must be done, tell",,,
,`commander,n,"head, leader",,,
,`commence,vb,,,[S] start,
,`commend,vb,"to acknowledge, make much of, speak highly/warmly of, speak well of",,,
,`commercial,adj,"business, trade, trading, sales",,,
,`commercial,n,,,[S] advertisement,
,`commission,n,"1) writ, 2) board, body, team, 3) cut, earnings, income",,,
,`commit,vb,"1) to do the deed, have a hand in, put through, 2) to give, hand over, make over, put in the hands of, 3) to put in hold",,,
,`commit suicide,vb,"kill oneself, put an end to one's life",,,
,`commitment,n,"owing, undertaking, word, plighted word",,,
,`committed,adj,"steadfast, bent, tight-knight, earnest, plighted, tied, true, whole-hearted",,[S] determined,
,`committee,n,"board, body, team",,,
,`commodity,n,goods,,,
,`commonly,adv,"oft, often, oft-times, often-times, many a time and oft, not seldom",,,MERGE WITH FREQUENTLY
,`communicate,vb,"reach out to smn, get through to smn, to bring word, give out, leave word, make known, put it about, ring up, send word, speak, spread the word, talk, write",get sth across,[S] contact,
,`communication,n,"hearsay, news, talk, telling, tidings, word, writing",,,
,`companion,n,"friend, best/bosom/dear/fast/good/near/warm friend, brother, helper, helpmeet, henchman, other, self, sharer",,,
,`company,n,"1) body, forgathering, gathering, set, team, throng, 2) business, business house, house",firm,,
,`comparable,adj,"a match for, as good as, akin, alike, like, much like, no better, no worse, cut from the like cloth",,,
,`comparison,n,"likeness, likening, matching, setting side by side",,[S] compare,
,`compass,n,"2) field, reach, stretch",,,
,`compassion,n,"kindness, loving-kindness, ruth, softness, warmth",,,
,`compassionate,adj,"kind, loving, understanding, goodhearted, greathearted, warmhearted, kindhearted, kindly, softhearted, ruthful",,,
,`compatible,adj,"in keeping, in step, like-minded, of one mind",,,
,`compel,vb,"to bend, browbeat, drive, hold down, make, twist one's arm, wring from",,,
,`compelling,adj,"1) not to be gainsaid, overwhelming, strong, telling, weighty, 2) binding, overriding, strong-arm",,,
,`compensate,vb,"make up for, offset, even up, atone for",,,
,`compete,vb,"take on, fight, fight against, race, pit against, keep up (against), hold up against, to be in the running, match oneself, stand, wrestle",,,
,`competent,adj,"bright, deft, clever, ready, sharp, worth one's salt, knowing, many-sided",,,
,`competition,n,"race, match, horserace, fight, one-up(s)manship",,,
,`competitive,adj,"cut-throat, keeping abreast, ruthless, self-seeking, worldly",,,
,`complain,vb,"whine, carp, bitch, go on about, harp on, holler, bellyache, bleat, moan, whinge, be sorry for oneself, have a chip on one's shoulder, not know when one is well off",sound off,,
,`complaint,n,rumblings,,,
,`complement,n,"rest of, fullness, match, other half, twin",,,
,`complete,adj,"done, through, over, in every way, at an end",,[S] absolute,
,`complete,vb,"to build up, clinch, do thoroughly, end, be over, fill up, follow through, fulfil, make whole, see through, settle, top off",,,
,`comply,vb,"follow, go along with, play along, go with the flow, abide by",,,
,`compose,vb,"draw up, write, craft, draft",,,
,`comprehend,vb,"understand, grasp, fathom, follow, get sth straight","get one's arms around, wrap one's mind around",,
,`comprehension,n,"grasp, understanding",,,
,`comprise,vb,"make up, be made of, be made up from",,,
,`compromise,vb,"settle for, make do with, get by with, meet (smn) halfway/in the middle",,,
,`compromise,n,"tradeoff, middle way, middle ground, backup, fallback, give and take",,,
,`concentration,n,"heedfulness, mindfulness",,,
,`concoct,vb,,,[S] devise,
,`confess,vb,,,[S] admit,
,`confession,n,,,[S] admission,
,`confident,adj,believe in oneself,,,
,`conflicting,adj,clashing,,,
,`conform,vb,"abide by, follow, be the same, be in line, match, fall in line, toe the line, knuckle under, go with the flow, blow with the wind, float with the stream",,,MERGE WITH OBEY?
,`confront,vb,,,[S] face,
,`confuse,vb,"[D1|to throw into a state of mental uncertainty] bewilder, baffle, boggle, boggle smn's/the mind, bamboozle, addle, beat, befog, befuddle, fluster, flummox, fox, fuddle, get, maze, muddle, muddy, throw for a loop [D2|to make (something) unclear to the understanding] becloud, befog, blur, cloud, fog, muddy, jumble, mess (up), mix (up), muddle, scramble, shuffle, tousle, upset [D3|to fail to differentiate (a thing) from something similar or related] mistake, mix (up), lump (together)",,,
,`confusing,adj,,,"[S] abnormal, unusual, bizarre, complicated",
,`congratulate,vb,"give it up for smn, let's hear it",,,
,`congratulations,interj,"way to go, good for you, good work, good job, good going, hooray, best wishes",,,
,`congregate,vb,gather,,,
,`consecutive,adj,"one after the other, back-to-back, straight",,,
,`consequence,n,"blowback, fallout, brunt (bear/feel the brunt of sth), aftermath",,,
,`consequential,adj,,fateful,,
,`considerable,adj,"fair, a lot, hefty",,,
,`consideration,n,"care, thought, mind, heed, forethought",,,
,`consist of,vb,,,[S] comprise,
,`constant,adj,"steady, steadfast, unwavering",staunch,,
,`consult,vb,"call on/upon, go to, fall back on",turn to,[S] resort,MERGE WITH RESORT?
,`consume,vb,"[D1|to destroy all trace of] eat (up), drain, spend, do in [D2|to make complete use of] go through, run through, wear out, empty, draw down",,,
,`contact,vb,"reach out (to), reach, get through to smn, get (a)hold of",get in touch with,[S] communicate,
,`contest,n,,,[S] competition,
,`continuously,adv,,,[S] frequently,
,`contradictory,adj,clashing,,,
,`contrary,adj,clashing,,,
,`contribute,vb,"chip in, pitch in, help, help out, give back to, give of oneself, give of one's time, do one's bit, have a hand in, feed into",carry one's weight,,
,`contribution,n,"input, help",,,
,`contrived,adj,stilted,,,
,`conversation,n,,,[S] discussion,
,`convey,vb,"get through to, put over, say",get across,,
,`convincing,adj,"telling, strong, sound, well-grounded, weighty",well-founded,,
,`cooperate,vb,,,[S] collaborate,
,`corpse,n,body,,,
,`correct,adj,"right, in the right (about)",,,
,`correct,vb,"right, make right, set right",,,
,`correct,interj,"right, that's right, yes",,[S] exactly,
,`correspond,vb,line up (with),,,
,`costume,n,"getup, outfit, clothing",,,
,`count,vb,,,[S] calculate,
,`counterbalance,n,offset,,,
,`counterbalance,vb,,,[S] compensate,
,`countless,adj,"untold, umpteenth",,,
,`coup de grace,n,"deathblow, deadly blow, knockout blow",,,
,`courage,n,will,,[S] summon (up) the courage,
,`cover,n,overlay,,,
,`cover,vb,overlay,,,
,`coward,n,"chicken, wimp, sissy, pussy, dastard, funk, cur",,,
,`cowardly,adj,"gutless, dastardly, chicken",spineless,,
,`creatively,adv,outside the box,,,
,`criminal,n,"outlaw, wrongdoer, thief, gunman",,,
,"`cringeworthy, `cringey",adj,"cringeworthy, cringey, awkward, hard to watch/listen to/read",,,
,`criterion,n,,,"[S] reason, standard",
,`criticism,n,"[D1|negative] backlash, knock","pushback, flak",,
,`criticize,vb,"bash, call out, jump on, knock (on), come under fire, hit out at, slam",,,
,`crumble,vb,,,[S] deteriorate,
,`cry,vb,"weep, sob, wail, moan, squall, bawl",,,
,`custom,adj,bespoke,,,
,`danger,n,"threat, harm's way",risk,,
,`dangerous,adj,"harmful, deadly",,,
,`dapper,adj,,,[S] well-dressed,
,`debate,n,back and forth,,"[S] discussion, negotiation",
,`debate,vb,go back and forth (about),,"[S] discuss, negotiate",
,`debunk,vb,,,[S] disprove,
,`deceive,vb,"mislead, lead on, hoodwink, put on, get one over on smn, play",,,
,`deceleration,n,"slowdown, letup, braking",,,
,`decidedly,adv,"by far, hands down, far and away, by leaps and bounds, head and shoulders, by a long shot, by all odds, by half",,"[S] certainly, for sure",
,`decisively,adv,handily,,,
,`decrease,vb,"go down, drop, dip, let up, wane, lessen, make less, lower, bring down",,,
,`deduct,vb,"take away, knock off, take off",,,MERGE WITH REMOVE?
,`defeat,n,loss,,,
,`defeat,vb,"win against, beat, fight off, edge out, quell",,,
,`definite,adj,"set, hard and fast, cast-iron","strict, clear-cut",,
,`definitely,adv,,,[S] certainly,
,"`deliberate, `intentional",adj,"thought-out, willful, witting, aforethought, knowing",planned (out),,
,`demonstrate,vb,,,[S] prove,
,`depart,vb,take off,,,
,`dependability,n,,,[S] reliability,
,`dependable,vb,,,[S] reliable,
,`deplete,vb,,,[S] consume,
,`deprivation,n,"loss, lack",,,
,`deprive,vb,"strip of, bereave, take sth from smn",,,
,`derivative,n,"offshoot, spinoff",,,
,`derogatory,adj,"belittling, slighting, snide, hateful, mean, unkind, catty, bitter, scathing",,,
,`deserving,adj,worthy,,,
,`desire,n,,,[S] want,
,`desire,vb,,,[S] want,
,`despair,vb,lose heart,,,
,`despise,vb,,,[S] hate,
,`destined,adj,"headed for, doomed to, bound to",,,
,`detailed,adj,,,[S] in detail,
,`deteriorate,vb,"worsen, get/become worse, go/head south, take a hit",,,MERGE WITH DECLINE?
,`determined,adj,"set to, set (on), dead set (on), bent (on), hellbent (on)",fixed on,,
,`devastated,adj,"heartbroken, broken up about sth, brokenhearted",grief-stricken,,
,`devastating,adj,"heartbreaking, harrowing",soul-crushing,,
,`deviant,adj,,,[S] abnormal,
,`devise,vb,"come up with, cook up, make up, think of, think up, dream up",,,
,`diary,n,daybook,,,
,`dictionary,n,wordbook,,,
,`didactic,adj,"teachy, holier-than-thou, priggish, smug, goody-goody",preachy,,
,`differ,vb,"[D1|to not be the same] be unlike, not be the same [D2|to have a different opinion]",,[S|D2] disagree,
,`differentiate,vb,"tell sth from sth, spot, pick out","tell apart, set apart",[S] distinguish,MERGE WITH DISCERN?
,`differing,adj,,,[S] different,
,`difficult,adj,"hard, tough, rough, tiring",,,
,`digest,vb,"break down, take in",,,
,`direct,adj,"head-on, hands-on, forthright",,,
,`direction,n,"way, path",tack,[S] course of action,
,`directly,adv,"[D1|in a direct line or course] head-on, headlong, headfirst, dead, right, straight [D2|in an honest and direct manner] forthrightly, straight, straightforward, straightforwardly, straight up [D3|in the same words] [D4|without delay]",,"[S|D3] exactly
[S|D4] immediately",
,`disadvantage,n,"drawback, setback, downside, weakness, flaw, handicap, flip side",catch,[S] cons,
,"`disappear, `vanish",vb,"be gone, go away, be nowhere to be seen/found",,,
,`disappoint,vb,let smn down,,,
,`disappointment,n,letdown,,,
,`disassemble,vb,unpick,take apart,,
,`discern,vb,make out,,,MERGE WITH DIFFERENTIATE?
,`discipline,vb,toughen up,,,
,`disclose,vb,,,[S] reveal,
,`disconnect,n,"gap, break",,,
,`discontinue,vb,"sunset, bring to an end",,,
,`discover,vb,"find, find out (about), get wind of, learn of/about, get word of sth",,[S] realize,
,`discovery,n,finding,,,
,`discuss,vb,"talk about, talk over, unpack, get into sth, speak to sth, take sth up with smn, moot",,[S] debate,
,`discussion,n,"talk, banter, give-and-take, back and forth, chat, gossip, small talk, heart to heart",conversation,,
,`dislike,vb,"not like, mislike, hold against, think less of",,[S] hate,
,`dismal,adj,"bleak, gloomy",,,
,`dismiss,vb,"downplay, play down, belittle, write off, whitewash, gloss over, blow smn/sth off, shoot down, make nothing of","brush aside, count out",[S] discard,
,`disorderly,adj,"jumbled, topsy-turvy, messy, tumbled, upside-down",,,
,`disorganized,adj,,,[S] disorderly,
,`disparaging,adj,,,[S] derogatory,
,`disproportionate,adj,uncalled-for,,,
,`disprove,vb,"belie, shoot down, give the lie to",,,
,`disrespect,vb,"wrong, think less of",,,
,`distance,n,"length, stretch, reach, span",,,
,`distance,vb,withdraw,,,
,`distant,adj,"aloof, cold, standoffish, unforthcoming, unwelcoming, withdrawn, frosty",,,
,`distinguished,adj,"foremost, great, kingly, queenly, lordly, high and mighty, highborn, well-born, matchless, weighty, worthful",,,
,`distract,vb,"wander, wander away, wander off, draw away, throw off, lose sight of",,,
,`distribute,vb,"[D1|to put into a particular arrangement] [D2|to give something to select individuals] give out, dole out, mete out, share, share out, deal out, earmark, set aside",,[S|D1] order,MERGE WITH ALLOCATE?
,`distrust,n,,,[S] doubt,
,`distrust,vb,,,[S] doubt,
,`divide,vb,"split, split up, cleave",,,
,`divide,n,"split, splitting, breakup",,,
,`division,n,"split, splitting, breakup",,,MERGE WITH DIVIDE?
,`divorce,vb,split up,,,
,`document,vb,"set down, write down, log, keep a log of, make a log of, make a note of, keep note of",,,
,`dominant,adj,"main, leading, foremost, overshadowing",,,
,`dominate,vb,"take over, hold sway",,[S] influence,
,`doubt,vb,mistrust,,,
,`dress,vb,"clothe, put on clothes",,,
,`dressed,adj,clothed,,,
,`due date,n,"deadline, cutoff",,,
,`e.g.,adv,,,[S] for example,
,`easily,adv,"handily, smoothly, swimmingly",,,
,`effective,adj,[D1|producing or capable of producing a desired result] telling [D2|having the power to convince],,[S|D2] convince,
,`element,vb,[D1|a part of something] bit,,,
,`elevate,vb,"raise, hoist, lift (up), heft",haul up,,
,`eliminate,vb,"weed out, comb out",,,
,`emasculate,vb,unman,,,
,`embarrass,vb,"put smn on the spot, shame",,,
,`embarrassed,n,ashamed,,,
,`embarrassing,adj,"awkward, cringeworthy, cringy, shameful",,,
,`embody,vb,,,[S] represent,
,`emerge,vb,"come up, come out",,,
,`emerging,adj,"fledgling, budding, up-and-coming, young, rising, growing",,,
,`emit,vb,give off,,,
,`emotionless,adj,stone-cold,,,
,`emphasize,vb,,,[S] stress,
,`employ,vb,"[D1|to provide with a paying job] hire, hire on, take on, find a job, land a job",,,
,`employment,n,"work, job, day job, gig, stint",,,
,`empower,vb,"strengthen, make stronger, shore up, undergird",,,
,`empty,adj,"empty, hollow, bare",,,
,`enamoured,adj,,,[S] infatuated,
,`enclose,vb,"box in, hedge, hem in, shut (smn) off",,[S] surround,
,`encounter,vb,"[D1|to come upon face-to-face] happen (upon), meet, stumble (upon) greet, crash (into) cross, hit (upon), light (upon), tumble (to), bump into, cross paths (with), run across, run into, run upon [D2|to come upon unexpectedly or by chance] bump into, come by, stumble (upon), happen (upon), crash (into), come across, cross, cross paths (with), run across, run into, run upon [D3|to enter into contest or conflict with] meet, take on, fight",,,
,`endure,vb,"[D1|to come to a knowledge of (something) by living through it] feel, have, know, see, taste, undergo, witness [D2|to remain indefinitely in existence or in the same state] abide, last, stand up, hold on, hold up, keep up, run on, live on, linger [D3|to put up with (something difficult)]",stick around,[S|D3] tolerate,
,`enduring,adj,"lasting, long-standing, lingering, clawing",,[S] persistent,
,`enemy,n,"foe, those who wish smn harm, those who mean to do smn harm",,,
,`enjoy,vb,"like, love, be into sth, get a kick out of sth, get a thrill out of, get off on, be all about sth, have a thing for",,[S] interested,
,`ensure,vb,,,[S] make sure,
,`enter,vb,"[D1|to go inside] to go in/into, come in/into, drop in, set foot in, step in, walk in, darken the door [D2|to commence]",,[S|D2] start,
,`entire,adj,whole,,,
,`entity,n,being,,,
,`entrance,vb,"bewitch, draw, spellbind, take someone's eye, win",carry away,,
,`entrance,n,"way in, door, doorway, gate, gateway, ingoing, inway, open door, opening, threshold",,,
,`equivalent,n,"match, like, fellow",,,
,`eradicate,vb,"root out, uproot, wipe out, stamp out, get rid of, do away with",,[S] abolish,
,`err,vb,"stumble, make a mistake, misstep, blunder, flub, foul up, fumble, mess up, slip up, fluff, louse up","trip, screw up, goof (up)",,
,`error,n,,,[S] mistake,
,`escape,vb,"flee, run away, get away, break away, run off",,,
,`essence,n,"thrust, drift, heart, soul, kernel, heart and soul, meat, pith, marrow, lifeblood, brunt",gist,,
,`establish,vb,"set up, start, father, take root, take hold",found,,
,`established,adj,,,[S] familiar,
,`estimate,vb,,,[S] assess,
,"`etc, et cetera",phr,"and so forth, and so on, and the like, and such, and others, along with others, and whatnot",and the rest,,
,`evade,vb,duck,,,
,`evaluate,vb,,,[S] assess,
,`everything,n,"everything, the works, the lot, the whole thing",,,
,`evidently,adv,,,[S] apparently,
,`exactly,adv,[D1|in a direct line or course] [D2|in an honest and direct manner] [D3|in the same words],,"[S|D1] directly
[S|D2] directly
[S|D3] verbatim","on the nose, on the dot, right"
,"`exactly, `precisely",interj,"that's right, you got it",,[S] correct,"on the nose, on the dot, right"
,`exaggerate,vb,"overdo, play up, overplay, stretch",,,
,`exaggerated,adj,"overdone, over-the-top, stretched",,,
,`examine,vb,"look into, sift, unpack, comb through, pore, pore over, read through, delve into, dig into, pick over",,,MERGE EXAMINE AND ANALYZE?
,`exceed,vb,"[D1|to go beyond the limit] overstep, break, outreach, overreach, overrun, overshoot [D2|to be greater, better, or stronger than] go beyond, beat, better, outdo, outgun, outmatch, outshine, outstrip, overtop, top, best, tower (over), one-up, outrun",,,
,`excellent,vb,"great, awesome, top, top of the line, tiptop",,,MERGE WITH SUPERB?
,`except,vb,"other than, aside from, outside of, on top of, leaving out, besides, setting aside, smn/sth aside",save for,[S] apart from,
,`exception,n,"outlier(s), standout(s)",,,
,`exceptional,adj,"to stick out, to stand out",,[S] abnormal,
,`excessively,adv,overly,,,
,`exciting,adj,sth to look forward to,,,
,`exclude,vb,"shut out, ban, freeze out, keep out","count (smn) out, rule out",,
,"`excuse me, `pardon",interj,sorry,,,
,`exhaust,vb,"tire out, wear out, do in",tap out,,
,`exhausted,adj,"tired, weak, weary, drained, spent, done in, beat, burned out, breathless, out of breath",feeble,,
,`exit,vb,"leave, get out (of), step out",,,
,`expand,vb,,,[S] develop,
,`expansive,adj,,,[S] extensive,
,`expectedly,adv,,sure enough,,
,`expedite,vb,speed up,,,
,`expend,vb,,,[S] consume,
,`expensive,adj,"steep, dear, high-end","costly, pricey",,
,`experiment,vb,"tinker (with), fiddle",,,
,`explicit,adj,"outward, full",,,
,`explicitly,adv,outwardly,,,
,`explode,vb,"blow, blow up, go off, burst, bust",,,
,`expose,vb,show (smn) up,,,
,`extend,vb,"draw out, outstretch, lengthen, stretch, stretch out, drag out, stretch on",,,
,`extensive,adj,"thorough, sprawling, thoroughgoing, sweeping, far-reaching, far-flung, widespread, broad",,,
,`extroverted,adj,outgoing,,,
,`exuberant,adj,"lively, showy, loud, flashy, over-the-top",,,
,`face,vb,"[D1|to look at one direction] look at/towards [D2|to oppose with firmness] deal with, be/come up against, take on, fight, tackle, stand up to",,,
,`faint,vb,"black out, keel over, swoon",pass out,,
,`false,adj,untrue,,,
,`falsify,vb,,,[S] disprove,
,`fame,n,"limelight, stardom",,,
,`familiarize,vb,"get to know, get a feel for, learn about, come to know, get the hang of sth",,,
,`famous,adj,"well-known, widely-known, great, known, big-name, known the world over",,[S] popular,
,`fantastic,adj,,,[S] absurd,MAKE ENTRY ABOUT AMAZING
,`favorite,adj,"fondest, most beloved/loved, most dear, dearest, sth one holds most dear, sth one likes/loves the most",,,
,`feeble,adj,,,[S] powerless,
,`feign,vb,,,[S] pretend,
,`field of view,n,,,[S] field of vision,
,`final blow,n,,,[S] coup de grace,
,`finish,vb,"end, wind up, call it a day, be over",,,
,`finished,adj,"done, through",,,
,`fire,vb,"[D1|to let go from employment] fire, let go, lay off, give the axe, get the chop, sack, get the sack",get the boot,,
,`fix,vb,"do something about, work on",,,
,`flamboyant,adj,,,[S] exuberant,
,`flaunt,vb,"flaunt, show off, tout, flash, lay out, show, wave",wave around,,
,`flexibility,adj,"leeway, wiggleroom, breathing room",,,
,`fluctuate,vb,hover,,,
,`focus,n,,,[S] concentration,
,`focus,vb,,,[S] concentrate,
,`foolish,adj,,,[S] absurd,
,`for instance,prep phr,,,[S] for example,
,`force,vb,"make, bully smn into, twist smn's arm, ramrod",,,
,`forest,n,"woods, woodland",,,
,`forget,vb,"forget, get (smn/sth) off one's mind, put (sth) out of one's mind, get over",,,
,`forte,n,,,[S] strong suit,
,`fortunate,adj,"lucky, blessed",,,
,`foundation,n,"groundwork, bedrock, bed, flooring, footing, ground, root, way",,,"MERGE WITH BASE, BASIS?"
,`fragile,adj,"brittle, weak, crumbly, flimsy, flaky",frail,,
,`fraud,n,"sham, swindle, fiddle, bilk",,,
,`frown,n,,,[S] grimace,
,`frown,vb,,,[S] grimace,
,`frugal,adj,"thrifty, sparing",,,
,`fruitless,adj,"bootless, brought to nought, ungrown, unwrought",,,
,`generally,adv,"overall, broadly speaking, on the whole, mainly, more often than not, all in all, most of the time",all around,"[S] usually, probably, largely",
,`generate,vb,"stir, spur, stir up, stoke",drum up,,
,`generously,adv,"handsomely, freehandedly, freeheartedly",,,
,`genuine,adj,,,[S] authentic,
,`give pause,vb,,,[S] concern,
,`glance,vb,"look over, glimpse, peek",,,
,`gold standard,n,,,[S] standard,
,`govern,vb,,,[S] rule,
,`gradual,adj,"slow, unhurried, steady, even, careful",,,
,`gradually,adv,"slowly, over time, little by little, step by step, bit by bit, one step at a time",,"[S] increasingly, progressively",
,`grimace,n,"scowl, pout",frown,,
,`grimace,vb,"scowl, pout","frown, make/pull a face",,
,`grudge,n,"hatred, bitterness, hate, misliking, hard feelings, score",,,
,`guarantee,vb,,,[S] ensure,
,`guide,vb,,show around,,
,`guise,n,,,[S] appearance,
,`hairstyle,n,hairdo,,,
,`hallucinate,vb,see things,,,
,`harass,vb,hound,,,
,"`hate, `abhor",vb,"hate, loathe, mislike, spurn, shun, shrink from, not like, cannot stand",,,
,`help,n,"help, backing, following wind",,,
,`help,vb,"help, help out, give a hand, hold out a hand to, lend a hand, back, go a long way (toward), come forward",,,
,`henceforth,adv,"henceforth, going forward, from now on, from here on out, from this/that time on, from that day on/forward",,,
,`hesitant,adj,"unwilling, uneager, faltering","cagey, halting",,
,`hesitate,vb,"be unwilling, balk (at), think twice (about), hang back",,,
,`hide,vb,"hide, shut out",,,
,`hierarchy,n,"rank, ranking, ladder",,,
,`hilarious,adj,"funny, sidesplitting, fun, chucklesome",,[S] amusing,
,`honesty,n,"truthfulness, earnestness, trustworthiness, openness, outspokenness",,,
,`horrifying,adj,"dread, dreadful, fearful, fearsome, clawing, forbidding, frightening, frightful, ghastly, hair-raising, scary",spine-chilling,,
,`however,adv,"however, yet, though, still, nonetheless, nevertheless, notwithstanding, be it/that as it may, even so, having said that, at the same time, that said, saying that, given this, still and all, on the other hand",,,
,`humanity,n,mankind,,,
,`hype,vb,"build up, boost, spike",,[S] promote,
,`hype,n,build-up,,,
,`hypothesis,n,what-if,,,
,`hypothetical,adj,"what-if, made up",,[S] possible,
,`hypothetically,adv,"let's say, what if",,,
,`i.e.,adv,"that is, namely, that is to say, in other words, to put it another way",,,
,`ideal,adj,the best,,,
,`identical,adj,"(the) same, one and the same, cut from the same cloth",,,
,`identify,vb,"[D1|to find out or establish the identity of] find, pin down, name, spot, pick out, finger [D2|to associate with someone/something] love, understand, sorrow (for), care (for), ache (for), bleed (for), feel (for), yearn (over)",,,MERGE WITH RELATE?
,`ignorance,n,"unawareness, cluelessness, lack of knowledge, benightedness",,,
,`ignorant,adj,"unaware, clueless, in the dark",,,
,`illegal,adj,"unlawful, against the law",,,
,`imitate,vb,ape,,,
,`immature,adj,"callow, unfledged, unripe, childish",,,
,`immediately,adv,"right away, right now, straightaway, at once, forthwith, now, right off, straight off, in no time, headlong, headfirst",,,
,`immerse,vb,,,"[S] involve, absorb",
,`impartial,adj,"fair, evenhanded, straight, forthright",,,MERGE WITH JUST
,`impartiality,n,"fairness, fair-mindedness, evenhandedness, a fair hearing, a fair shake, fair play",,,
,`impasse,n,"deadlock, dead end, gridlock, standoff, standstill",,,
,`impress,vb,"[D1|make someone feel admiration and respect] blow away, dazzle, amaze, grab, thrill, take smn aback, awe, overawe, show off [D2|press down to make design] carve, dent, etch, mark [D3|emphasize]",,[S|D3] emphasize,
,`impressive,adj,a sight to behold,,,
,`improbable,adj,"unlikely, highly unlikely, far-fetched, not in the least likely, hard to believe",,,
,`impromptu,adj,,,[S] improvised,
,"`improve, `ameliorate",vb,"step up sth, better, get better (at), boost, pick up, make headway, gain ground, be better off, be better for it, look up",,,
,"`improvement, `amelioration",n,"step up, bettering, boost, strengthening, uplift, upswing, uptrend, breakthrough",,,
,`improvise,vb,"wing sth, verb + of-the-cuff, verb + on the spot",,,
,`improvised,adj,"offhand, offhanded, off-the-cuff, on the spot, snap",,,
,`in action,adv,afoot,,,MERGE WITH IN PROCESS?
,`in addition,adv,,,[S] additionally,
,`in advance,prep,"before, beforehand, ahead of sth",,,
,`in charge,adj,at the helm,,,
,`in concert,adj,,,[S] simultaneously,
,`in conclusion,prep phr,"lastly, at the end of the day",,[S] finally,
,`in contrast,prep phr,,,[S] as opposed to,
,`in danger,prep phr,"at stake, under threat, on the line",at risk,,
,`in demand,adj,"sought-after, wanted, hot, trendy, trending, big, to die for",,,
,`in general,prep,,,[S] generally,
,`in jeopardy,prep phr,,,[S] in danger,
,`in jest,prep,,,[S] jokingly,
,`in person,adv,in the flesh,,[S] in real life,
,`in process,adv,"afoot, going on",,,
,`in progress,adv,"(well) under way, going on, ongoing, in the works, in the making, being done, being worked on, in the hopper, afoot, up and running, in full swing/gear",,,
,`in regards to,prep,,,[S] regarding,
,`in response,prep,,,[S] in turn,
,`in retrospect,prep,"in hindsight, looking back",,,
,`in secret,prep,,,[S] secretly,
,`in succession,prep,,,[S] consecutively,
,`in summary,prep,"in short, in a nutshell, the short of it, at the end of the day",long story short,,
,`in tandem,prep,,,[S] simultaneously,
,`in the balance,prep phr,,,[S] in danger,
,`in the event that,conj,if,,,
,`in the interest of,prep phr,"for the sake of, for sth/smn's sake",,,
,`inaccurate,adj,"off the mark, off",,,
,`inappropriate,adj,"uncalled-for, untoward",,,
,`inclination,n,bent,,,
,`inconsistent,adj,"unsteady, fickle, flighty, hit-or-miss",,,
,`increase,vb,"go up, up, grow, rise, get bigger, hike (up), run up",,,
,`increase,n,"rise, hike, uptick",,,
,`increasingly,adv,"more and more, growingly, slowly",,"[G1] I'm lifting increasingly heavier weights → I'm lifting heavier and heavier weights
[S] progressively, gradually",
,`indefinitely,adv,,,[S] permanently,
,`indicate,vb,,,"[S] point to, suggest",
,`indication,n,"glimpse, clue, hint, whiff",,,
,`indicative,adj,telling,,,
,`inexpensive,adj,cheap,,,
,`infatuated,adj,"taken with/by, drawn to, crazy about, in love with, head over heels, mad about, hung up on",,,
,`infer,vb,gather,,[S] conclude,
,`influence,vb,"sway, lean on, have a bearing on, hold sway, have a hand in, cut a wide swath, work on smn","pack a punch, throw one's weight around",[S] dominate,
,`influencial,adj,far-reaching,,,
,`inform on,vb,,,[S] tell on,
,`initially,adv,"at first, in the beginning, early on, at first look",,,
,`injure,vb,"harm, wound",hurt,,
,`injury,n,"harm, wound, wounding",hurt,,
,`innovate,vb,break (new) ground,blaze a trail,,
,`innovation,n,breakthrough,,,
,`innovative,adj,"breakthrough, groundbreaking, cutting-edge, fresh, new, never thought of before, unheard-of, ahead of the game",,,
,`inquire,vb,ask,,,
,`insane,adj,crazy,,,
,`insist,vb,"keep to, hold on (to), stand one's ground, hold one's own",,,
,`insult,vb,put down,,,
,`insult,n,"putdown, burn",barb,,
,`intelligent,adj,"wise, smart, clever, shrewd, bright, sharp, quick, quick-witted, keen-witted, nimble-witted, sharp-witted, thinking, canny, insightful, brainy, gifted, ready, shrewd, whip-smart",,,
,`intensify,vb,flare up,,,
,`intent,adj,,,[S] determined,
,`interaction,n,"back-and-forth, talk, talking, speaking, chatting",,,
,`intermittently,adv,"on and off, now and then, in fits and starts",,,MERGE WITH OCCASIONALLY
